distance phi
12100.00 0.000000
12140.00 0.000000
12180.00 0.000000
12220.00 0.000000
12260.00 0.000000
12300.00 0.000000
12340.00 0.000000
12380.00 0.000000
12420.00 0.000000
12460.00 0.000000
12500.00 0.000000
12540.00 0.000000
12580.00 0.000000
12620.00 0.000000
12660.00 0.000000
12700.00 0.000000
12740.00 0.000000
12780.00 0.000000
12820.00 0.000000
12860.00 0.000000
12900.00 0.000000
12940.00 0.000000
12980.00 0.000000
13020.00 0.000000
13060.00 0.000000
13100.00 0.000000
13140.00 0.000000
13180.00 0.000000
13220.00 0.000000
13260.00 0.000000
13300.00 0.000000
13340.00 0.000000
13380.00 0.000000
13420.00 0.000000
13460.00 0.000000
13500.00 0.000000
13540.00 0.000000
13580.00 0.000000
13620.00 0.000000
13660.00 0.000000
13700.00 0.000000
13740.00 0.000000
13780.00 0.000000
13820.00 0.000000
13860.00 0.000000
